State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
"New Mexico ",805358,247310.0,247310.0,0.0,2026,2,2025,6,
"New York ",6840273,1989558.0,283263.0,1706295.0,2026,2,2025,6,
"North Carolina ",3149429,669048.0,669048.0,0.0,2026,2,2025,6,"North Carolina expanded its Medicaid program by adopting the VIII Group on October 1, 2023."
"North Dakota ",108083,25187.0,23787.0,1400.0,2026,2,2025,6,
"Ohio ",3002481,705005.0,704821.0,184.0,2026,2,2025,6,
"Oklahoma ",979807,239479.0,239479.0,0.0,2026,2,2025,6,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ",1303507,689347.0,573373.0,115974.0,2026,2,2025,6,
"Pennsylvania ",2957012,822177.0,773433.0,48744.0,2026,2,2025,6,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ",1332754,609078.0,,609078.0,2026,2,2025,6,
"Rhode Island ",304608,76455.0,76455.0,0.0,2026,2,2025,6,
"South Carolina ",1220541,,,,2026,2,2025,6,
"South Dakota ",132754,29843.0,29843.0,0.0,2026,2,2025,6,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
"Tennessee ",1504581,,,,2026,2,2025,6,
"Texas ",4374287,,,,2026,2,2025,6,
"Utah ",335872,82570.0,81396.0,1174.0,2026,2,2025,6,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Vermont ",163398,61252.0,0.0,61252.0,2026,2,2025,6,
"Virgin Islands ",20512,7963.0,,7963.0,2026,2,2025,6,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
"Virginia ",1699456,629482.0,629482.0,0.0,2026,2,2025,6,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"Washington ",1806696,597699.0,573302.0,24397.0,2026,2,2025,6,
"West Virginia ",510520,170182.0,170182.0,0.0,2026,2,2025,6,
"Wisconsin ",1209196,,,,2026,2,2025,6,
"Wyoming ",66428,,,,2026,2,2025,6,
Totals,82877280,20399012.0,16388981.0,4010031.0,2026,2,2025,6,
